Dates,PX_LAST
#NAME?,16.66
4/1/1950,16.85
5/1/1950,16.93
6/1/1950,16.98
9/1/1950,17.08
10/1/1950,17.03
11/1/1950,17.09
12/1/1950,16.76
13/1/1950,16.67
16/1/1950,16.72
17/1/1950,16.86
18/1/1950,16.85
19/1/1950,16.87
20/1/1950,16.9
23/1/1950,16.92
24/1/1950,16.86
25/1/1950,16.74
26/1/1950,16.73
27/1/1950,16.82
30/1/1950,17.02
31/1/1950,17.05
1/2/1950,17.05
2/2/1950,17.23
3/2/1950,17.29
6/2/1950,17.32
7/2/1950,17.23
8/2/1950,17.21
9/2/1950,17.28
10/2/1950,17.24
14/2/1950,17.06
15/2/1950,17.06
16/2/1950,16.99
17/2/1950,17.15
20/2/1950,17.2
21/2/1950,17.17
23/2/1950,17.21
24/2/1950,17.28
27/2/1950,17.28
28/2/1950,17.22
1/3/1950,17.24
2/3/1950,17.23
3/3/1950,17.29
6/3/1950,17.32
7/3/1950,17.2
8/3/1950,17.19
9/3/1950,17.07
10/3/1950,17.09
13/3/1950,17.12
14/3/1950,17.25
15/3/1950,17.45
16/3/1950,17.49
17/3/1950,17.45
20/3/1950,17.44
21/3/1950,17.45
22/3/1950,17.55
23/3/1950,17.56
24/3/1950,17.56
27/3/1950,17.46
28/3/1950,17.53
29/3/1950,17.44
30/3/1950,17.3
31/3/1950,17.29
3/4/1950,17.53
4/4/1950,17.55
5/4/1950,17.63
6/4/1950,17.78
10/4/1950,17.85
11/4/1950,17.75
12/4/1950,17.94
13/4/1950,17.98
14/4/1950,17.96
17/4/1950,17.88
18/4/1950,18.03
19/4/1950,18.05
20/4/1950,17.93
21/4/1950,17.96
24/4/1950,17.83
25/4/1950,17.83
26/4/1950,17.76
27/4/1950,17.86
28/4/1950,17.96
1/5/1950,18.22
2/5/1950,18.11
3/5/1950,18.27
4/5/1950,18.12
5/5/1950,18.22
8/5/1950,18.27
9/5/1950,18.27
10/5/1950,18.29
11/5/1950,18.29
12/5/1950,18.18
15/5/1950,18.26
16/5/1950,18.44
17/5/1950,18.52
18/5/1950,18.56
19/5/1950,18.68
22/5/1950,18.6
23/5/1950,18.71
24/5/1950,18.69
25/5/1950,18.69
26/5/1950,18.67
29/5/1950,18.72
31/5/1950,18.78
1/6/1950,18.77
2/6/1950,18.79
5/6/1950,18.6
6/6/1950,18.88
7/6/1950,18.93
8/6/1950,19.14
9/6/1950,19.26
12/6/1950,19.4
13/6/1950,19.25
14/6/1950,18.98
15/6/1950,18.93
16/6/1950,18.97
19/6/1950,18.92
20/6/1950,18.83
21/6/1950,19
22/6/1950,19.16
23/6/1950,19.14
26/6/1950,18.11
27/6/1950,17.91
28/6/1950,18.11
29/6/1950,17.44
30/6/1950,17.69
3/7/1950,17.64
5/7/1950,17.81
6/7/1950,17.91
7/7/1950,17.67
10/7/1950,17.59
11/7/1950,17.32
12/7/1950,16.87
13/7/1950,16.69
14/7/1950,16.87
17/7/1950,16.68
18/7/1950,17.06
19/7/1950,17.36
20/7/1950,17.61
21/7/1950,17.59
24/7/1950,17.48
25/7/1950,17.23
26/7/1950,17.27
27/7/1950,17.5
28/7/1950,17.69
31/7/1950,17.84
1/8/1950,18.02
2/8/1950,17.95
3/8/1950,17.99
4/8/1950,18.14
7/8/1950,18.41
8/8/1950,18.46
9/8/1950,18.61
10/8/1950,18.48
11/8/1950,18.28
14/8/1950,18.29
15/8/1950,18.32
16/8/1950,18.34
17/8/1950,18.54
18/8/1950,18.68
21/8/1950,18.7
22/8/1950,18.68
23/8/1950,18.82
24/8/1950,18.79
25/8/1950,18.54
28/8/1950,18.53
29/8/1950,18.54
30/8/1950,18.43
31/8/1950,18.42
1/9/1950,18.55
5/9/1950,18.68
6/9/1950,18.54
7/9/1950,18.59
8/9/1950,18.75
11/9/1950,18.61
12/9/1950,18.87
13/9/1950,19.09
14/9/1950,19.18
15/9/1950,19.29
18/9/1950,19.37
19/9/1950,19.31
20/9/1950,19.21
21/9/1950,19.37
22/9/1950,19.44
25/9/1950,19.42
26/9/1950,19.14
27/9/1950,19.41
28/9/1950,19.42
29/9/1950,19.45
2/10/1950,19.69
3/10/1950,19.66
4/10/1950,20
5/10/1950,19.89
6/10/1950,20.12
9/10/1950,20
10/10/1950,19.78
11/10/1950,19.86
13/10/1950,19.85
16/10/1950,19.71
17/10/1950,19.89
18/10/1950,20.01
19/10/1950,20.02
20/10/1950,19.96
23/10/1950,19.96
24/10/1950,20.08
25/10/1950,20.05
26/10/1950,19.61
27/10/1950,19.77
30/10/1950,19.61
31/10/1950,19.53
1/11/1950,19.56
2/11/1950,19.73
3/11/1950,19.85
6/11/1950,19.36
8/11/1950,19.56
9/11/1950,19.79
10/11/1950,19.94
13/11/1950,20.01
14/11/1950,19.86
15/11/1950,19.82
16/11/1950,19.72
17/11/1950,19.86
20/11/1950,19.93
21/11/1950,19.88
22/11/1950,20.16
24/11/1950,20.32
27/11/1950,20.18
28/11/1950,19.56
29/11/1950,19.37
30/11/1950,19.51
1/12/1950,19.66
4/12/1950,19
5/12/1950,19.31
6/12/1950,19.45
7/12/1950,19.4
8/12/1950,19.4
11/12/1950,19.72
12/12/1950,19.68
13/12/1950,19.67
14/12/1950,19.43
15/12/1950,19.33
18/12/1950,19.85
19/12/1950,19.96
20/12/1950,19.97
21/12/1950,19.98
22/12/1950,20.07
26/12/1950,19.92
27/12/1950,20.3
28/12/1950,20.38
